TYPE,TITLE,DESC,URL
P,Rainbow.css & Rumble.css,Fun and useful CSS Libraries,/RainbowRumble.css
P,MakeSite,Generates pretty HTML from .txt or .md files,/MakeSite
P,RoboTablets Dose Calculator,A small JS calculator tool,/RoboTablets
A,Why You Should Care About Ethereum 2,DEV.to Article,https://dev.to/acidicnic/why-you-should-care-about-eth2-ethereum-2-0-p3k
A,How I created AutoZoom,Medium Article,https://medium.com/@nicole_rocha_abadie/how-i-made-a-program-in-go-that-opens-my-zoom-classes-for-me-aab7acd658f4
A,How to Dockerize a Spigot Server,Medium Article,https://medium.com/@nicole_rocha_abadie/dockerizing-a-spigot-server-1a1193179c8c
A,Dynamic CSS Footer,Medium Article,https://medium.com/@nicole_rocha_abadie/dynamic-css-footer-that-stays-where-it-should-2bdd320854a6
A,Hash Tables,Medium Article,https://medium.com/@nicole_rocha_abadie/hash-tables-how-they-work-why-theyre-efficient-ec245dec041d
F,fab fa-linkedin,LinkedIn,https://www.linkedin.com/in/nicoleabadie/
F,fas fa-envelope,Email,mailto: nicole.r.abadie@gmail.com
F,fab fa-github,Github,https://github.com/AcidicNic
